id,rotulo,texto,texto_pt
626,FALSO,a man is holding a cell phone to his ear . a man is holding a cell phone up to his ear . a man is holding a cell phone in his hand .,Um homem está segurando um celular perto do ouvido. Um homem está segurando um celular até o ouvido. Um homem está segurando um celular na mão
972,FALSO,a man in a suit and tie holding a microphone . a man in a suit and tie standing in front of a microphone . a man in a suit and tie is smiling,Um homem de terno e gravata segurando um microfone. Um homem de terno e gravata de pé na frente de um microfone. Um homem de terno e gravata está sorrindo
42,FALSO,a group of young children standing next to each other . a group of young men standing next to each other . a group of young children posing for a picture .,um grupo de crianças pequenas em pé ao lado uma da outra. um grupo de jovens parados lado a lado. um grupo de crianças pequenas posando para uma foto
1043,FALSO,a man and a woman laying on a bed . a man and a woman sitting on a bed . a man and a woman laying on a bed,Um homem e uma mulher deitados em uma cama. Um homem e uma mulher sentados em uma cama. Um homem e uma mulher deitados em uma cama
831,FALSO,a man in a suit and tie holding a microphone . a man in a suit and tie holding a microphone a man in a suit and tie is holding a microphone .,"Um homem de terno e gravata segurando um microfone. um homem de terno e gravata segurando um microfone, um homem de terno e gravata está segurando um microfone"
261,FALSO,a man in a suit and tie is smiling . a man in a suit and tie is smiling a man in a suit and tie holding a cell phone .,"Um homem de terno e gravata está sorrindo. Um homem de terno e gravata sorri, um homem de terno e gravata segurando um celular"
928,FALSO,a man in a white shirt is holding a cellphone a man in a white shirt and a black tie a man in a white shirt and a black tie .,"um homem de camisa branca está segurando um celular, um homem de camisa branca e uma gravata preta, um homem de camisa branca e gravata preta"
38,FALSO,a group of people standing on top of a beach . a group of people standing on top of a sandy beach . a group of people standing next to each other .,um grupo de pessoas de pé no topo de uma praia. um grupo de pessoas de pé no topo de uma praia arenosa. um grupo de pessoas de pé lado a lado
182,FALSO,a man is talking on his cell phone . a man is talking on a cell phone outside a man is talking on a cell phone outside .,Um homem está falando em seu telefone celular. um homem está falando em um telefone celular fora de um homem está falando em um telefone celular lá fora
1143,FALSO,a man holding a tennis racket in his hands . a man holding a tennis racquet in his right hand . a man holding a tennis racket in his hand .,Um homem segurando uma raquete de tênis nas mãos. Um homem segurando uma raquete de tênis na mão direita. Um homem segurando uma raquete de tênis na mão
