id,rotulo,ADA,GRD,KNN,NB,RF,RL,SVM
626,FALSO,0,0,0,1,0,0,0
972,FALSO,0,0,0,1,0,1,0
42,FALSO,0,0,0,1,0,0,0
1043,FALSO,0,0,0,1,0,0,0
831,FALSO,0,0,0,0,0,0,0
261,FALSO,0,0,0,0,0,0,0
928,FALSO,0,0,0,1,0,0,0
38,FALSO,0,0,0,1,0,1,1
182,FALSO,0,0,0,1,0,1,1
1143,FALSO,0,0,0,0,0,0,0
1013,FALSO,0,0,0,1,0,0,1
310,FALSO,0,0,0,1,0,0,0
1046,FALSO,0,1,0,1,0,1,1
722,FALSO,0,0,0,1,0,0,0
106,FALSO,0,0,0,1,0,0,0
556,FALSO,0,0,1,1,0,1,1
974,FALSO,0,0,0,1,0,0,0
74,FALSO,0,1,0,1,0,0,0
157,FALSO,0,0,0,1,0,1,0
301,FALSO,0,0,0,1,0,1,0
570,FALSO,0,0,0,1,0,0,0
63,FALSO,0,0,0,1,0,0,1
1679,FALSO,0,0,0,0,0,0,0
634,FALSO,0,0,0,1,0,0,0
609,FALSO,0,0,0,1,0,1,0
80,FALSO,0,0,0,0,0,0,0
94,FALSO,0,0,1,1,0,1,1
875,FALSO,0,0,0,1,0,0,0
993,FALSO,0,0,0,1,0,0,0
103,FALSO,0,0,0,0,0,0,0
83,FALSO,0,0,0,1,0,0,0
1104,FALSO,0,0,0,1,0,0,0
2072,FALSO,0,0,0,1,0,0,1
1210,FALSO,0,0,1,1,0,0,1
583,FALSO,0,0,0,0,0,0,0
49,FALSO,0,0,0,1,0,1,1
1180,FALSO,0,0,0,1,0,0,1
131,FALSO,0,0,0,1,0,0,0
952,FALSO,0,0,0,0,0,0,0
588,FALSO,0,0,0,0,0,0,0
44,FALSO,0,0,0,0,0,0,0
1187,FALSO,0,0,0,1,0,1,0
1110,FALSO,0,0,0,0,0,0,0
1230,FALSO,0,0,0,0,0,0,0
758,FALSO,0,0,0,0,0,0,0
849,FALSO,0,0,0,0,0,0,0
2149,FALSO,0,0,0,1,0,0,0
1234,FALSO,0,0,0,0,0,0,0
86,FALSO,0,0,0,0,0,0,0
158,FALSO,0,0,0,1,0,0,0
708,FALSO,0,0,0,0,0,0,0
162,FALSO,0,0,0,0,0,0,0
1667,FALSO,0,0,0,1,0,0,0
181,FALSO,0,0,0,0,0,0,0
185,FALSO,0,0,0,0,0,0,0
194,FALSO,0,0,0,1,0,1,0
198,FALSO,0,0,0,0,0,0,0
1921,FALSO,0,0,0,0,0,0,0
663,FALSO,0,0,0,1,0,0,0
873,FALSO,0,0,0,0,0,0,0
1128,VERDADEIRO,1,1,1,1,1,1,1
1218,VERDADEIRO,1,1,1,1,1,1,1
1245,VERDADEIRO,1,1,1,1,1,1,1
1247,VERDADEIRO,1,1,1,1,1,1,1
1251,VERDADEIRO,1,0,1,1,1,0,0
1253,VERDADEIRO,1,0,0,1,1,0,1
1254,VERDADEIRO,1,1,1,1,1,1,1
1257,VERDADEIRO,1,1,1,1,1,1,1
1263,VERDADEIRO,1,1,0,1,1,1,0
1264,VERDADEIRO,1,1,1,1,1,1,0
1265,VERDADEIRO,1,1,0,0,1,0,0
1267,VERDADEIRO,1,1,1,1,1,1,1
1272,VERDADEIRO,1,1,1,1,1,0,1
1274,VERDADEIRO,1,1,0,1,1,1,1
1276,VERDADEIRO,1,1,1,1,1,1,1
